year,,jan,,feb,,mar,,apr,,may,,jun,,jul,,aug,
1912,,3.2,,4.8,,6.8,,8.3, 11.5, 13.4, 15.6, 12.6, 10.9,,8.0,,5.8
1913,,3.9,,4.3,,5.7,,7.5, 11.1, 13.7, 14.2, 14.9, 13.7, 10.7,,7.8,
1914,,2.9,,6.2,,5.7,,9.2, 10.3, 14.0, 15.5, 15.8, 13.0, 10.0,,6.3,
1915,,3.5,,3.7,,4.7,,7.3, 10.3, 13.7, 14.3, 15.0, 13.0,,8.8,,2.9
1916,,6.9,,3.3,,3.0,,7.8, 11.1, 11.2, 14.7, 16.0, 12.6, 10.3,,6.2,
1917,,1.2,,0.7,,2.7,,4.9, 12.1, 14.6, 15.5, 15.1, 13.7,,7.3,,7.5
1918,,3.2,,5.8,,5.4,,6.4, 12.2, 12.7, 15.1, 15.7, 11.7,,8.9,,5.2
1919,,2.5,,1.5,,3.3,,6.7, 12.4, 13.7, 13.5, 15.5, 12.5,,7.2,,2.9
1920,,4.5,,5.4,,6.7,,7.8, 11.3, 13.8, 13.8, 13.2, 12.6, 10.3,,6.4,
1921,,6.6,,4.3,,6.8,,7.9, 11.0, 14.0, 17.7, 15.1, 13.9, 12.6,,4.5,
1922,,3.2,,4.0,,4.3,,5.3, 12.2, 13.4, 13.3, 13.1, 11.8,,8.1,,5.3
1923,,4.9,,5.1,,6.1,,7.2,,9.0, 12.0, 17.0, 14.9, 12.1,,9.4,
1924,,4.1,,2.7,,3.7,,6.7, 11.0, 13.5, 14.8, 13.8, 13.0,,9.9,,6.6
1925,,4.8,,4.6,,4.5,,7.0, 11.1, 14.3, 16.4, 15.2, 11.2, 10.2,,3.6,
1926,,3.9,,6.3,,6.0,,8.7,,9.6, 13.0, 16.3, 15.9, 14.2,,7.8,
1927,,4.1,,3.8,,6.8,,7.6, 10.6, 12.0, 15.1, 15.2, 12.2, 10.0,,5.7,
1928,,4.6,,5.4,,5.6,,7.7, 10.1, 12.4, 15.9, 15.0, 12.5,,9.8,,7.3
1929,,1.2, -0.1,,5.9,,6.1, 10.6, 12.7, 15.6, 14.9, 15.3,,9.2,,6.3,
1930,,5.1,,2.3,,4.9,,7.7, 10.2, 14.7, 14.8, 15.4, 13.3, 10.1,,5.9,
1931,,2.9,,3.4,,3.6,,7.3, 10.7, 13.8, 14.9, 13.9, 11.3,,8.6,,7.3
1932,,5.7,,2.9,,4.3,,6.3,,9.8, 13.4, 15.6, 16.8, 12.8,,8.4,
1933,,2.0,,3.7,,6.9,,8.5, 11.4, 14.7, 17.2, 17.2, 14.7,,9.9,,5.4
1934,,3.8,,3.4,,4.5,,7.5, 10.9, 14.4, 17.5, 14.9, 14.1, 10.1,,5.8,
1935,,4.2,,5.3,,6.0,,7.6,,9.5, 14.4, 16.8, 16.3, 13.2,,9.2,
1936,,3.4,,2.1,,6.4,,5.9, 10.8, 14.1, 14.9, 15.6, 14.1,,9.0,,5.3
1937,,4.6,,5.0,,3.1,,8.5, 11.5, 13.7, 15.6, 16.4, 13.0, 10.1,,5.0,
1938,,5.2,,4.5,,8.6,,7.1, 10.1, 13.9, 14.6, 15.5, 13.3,,9.9,,8.6
1939,,3.9,,5.1,,5.4,,8.1, 10.7, 13.6, 14.9, 16.0, 13.9,,8.0,,8.1
1940, -1.4,,2.0,,5.6,,8.0, 11.9, 15.8, 14.6, 15.1, 12.5,,9.3,,6.5,
1941,,0.3,,2.9,,4.6,,6.1,,8.6, 14.3, 16.9, 14.3, 14.1, 10.0,,6.1
1942,,0.6, -0.2,,4.5,,8.5, 10.5, 13.8, 15.0, 15.9, 13.3, 10.3,,4.9,,6.1
1943,,4.4,,5.4,,6.3, 10.2, 11.4, 13.8, 15.7, 15.5, 12.8, 10.3,,5.8,,3.4
1944,,5.5,,3.1,,4.8,,9.4, 10.7, 13.0, 15.8, 16.6, 12.1,,8.9,,5.9
1945,,0.1,,6.6,,7.5,,9.5, 11.6, 14.0, 16.2, 15.3, 13.9, 11.4,,7.0,
1946,,2.7,,5.6,,4.8,,9.3,,9.9, 12.6, 15.7, 14.2, 13.4,,9.6,
1947,,1.7, -2.0,,3.1,,8.0, 12.5, 14.9, 16.4, 18.0, 14.6, 10.4,,6.7,,4.8
1948,,4.9,,4.2,,7.7,,8.5, 10.7, 13.1, 15.1, 14.6, 13.5,,9.7,,6.9
1949,,4.9,,5.2,,4.6,,9.6, 10.4, 14.3, 16.8, 16.4, 15.9, 11.4,,6.2,
1950,,3.9,,5.0,,7.1,,7.2, 10.6, 15.6, 15.6, 15.2, 12.6,,9.4,,5.5
1951,,3.5,,3.3,,3.8,,6.4,,9.4, 13.2, 15.9, 14.5, 13.8,,9.4,
1952,,2.4,,2.9,,6.1,,9.0, 12.5, 13.9, 16.2, 15.7, 10.7,,8.7,,3.9
1953,,3.0,,3.8,,5.3,,6.9, 12.1, 13.6, 15.1, 15.7, 13.5,,9.5,,7.9
1954,,2.5,,2.1,,5.4,,7.0, 10.7, 12.9, 13.8, 14.1, 12.4, 11.5,,6.6,
1955,,2.2,,0.9,,2.8,,8.8,,9.1, 13.2, 16.8, 17.3, 13.8,,8.9,
1956,,3.2, -0.7,,5.6,,6.1, 11.3, 12.6, 15.3, 13.1, 13.8,,9.2,,5.7,
1957,,5.0,,4.8,,8.6,,8.2,,9.9, 14.5, 16.0, 15.0, 12.2, 10.4,,6.0
1958,,3.0,,4.4,,3.2,,6.8, 10.7, 13.1, 15.3, 15.4, 14.5, 10.5,,6.1,
1959,,1.4,,4.0,,6.8,,8.9, 11.8, 14.5, 16.7, 16.8, 14.6, 12.1,,6.6,
1960,,3.6,,3.6,,5.8,,8.4, 12.1, 15.3, 14.7, 14.5, 12.7,,9.9,,6.8
1961,,3.2,,6.4,,7.6,,9.4, 10.4, 14.0, 14.7, 15.0, 14.7, 10.4,,5.8,
1962,,3.9,,4.0,,2.3,,7.1,,9.6, 12.9, 14.2, 14.0, 12.2, 10.1,,5.0
1963, -2.3, -1.2,,5.3,,7.9,,9.9, 14.1, 14.5, 13.8, 12.6, 10.4,,7.6,,2.3
1964,,2.8,,3.9,,3.7,,8.1, 12.5, 13.3, 15.5, 15.1, 13.7,,8.4,,7.0
1965,,3.0,,2.8,,4.7,,7.6, 10.9, 13.7, 13.5, 14.4, 11.9, 10.5,,4.2,
1966,,2.4,,5.2,,6.0,,6.8, 10.5, 14.7, 14.4, 14.3, 13.5,,9.9,,5.1
1967,,3.9,,5.0,,6.7,,7.4,,9.8, 13.5, 16.2, 15.2, 13.2, 10.4,,5.0
1968,,3.8,,1.6,,6.0,,7.6,,9.3, 14.2, 14.4, 15.0, 13.4, 12.1,,6.2
1969,,5.1,,0.6,,3.1,,7.0, 10.7, 13.3, 16.3, 15.8, 13.5, 12.4,,5.0,
1970,,3.3,,2.6,,3.3,,6.2, 12.2, 15.5, 14.8, 15.5, 14.0, 10.3,,7.2,
1971,,4.1,,4.2,,4.6,,7.2, 11.0, 12.0, 16.4, 15.3, 13.8, 11.0,,5.6,
1972,,3.4,,4.0,,6.1,,7.9, 10.1, 11.4, 15.0, 14.6, 11.4, 10.1,,5.9,
1973,,4.1,,4.0,,5.8,,6.6, 10.8, 14.4, 15.2, 16.1, 13.9,,8.8,,5.6
1974,,5.5,,5.1,,5.2,,7.4, 10.4, 13.2, 14.6, 14.7, 11.6,,7.3,,6.3
1975,,6.2,,4.2,,4.4,,7.8,,9.3, 13.9, 16.7, 18.0, 12.9,,9.5,
1976,,5.1,,4.0,,4.3,,7.5, 11.4, 16.3, 17.7, 16.8, 12.9, 10.2,,5.7,
1977,,2.3,,4.6,,6.5,,6.7,,9.9, 11.8, 15.3, 14.8, 12.7, 11.3,,6.0
1978,,2.8,,2.0,,6.2,,5.9, 10.8, 13.2, 14.3, 14.5, 13.6, 11.4,,8.0,
1979, -0.4,,0.9,,4.2,,7.2,,9.5, 13.5, 15.6, 14.5, 12.9, 10.8,,6.2,
1980,,1.9,,5.3,,4.3,,8.2, 10.4, 13.4, 14.1, 15.4, 14.3,,8.5,,6.0
1981,,4.2,,2.6,,7.4,,7.3, 10.8, 12.9, 15.2, 15.8, 14.1,,7.9,,7.1
1982,,2.5,,4.4,,5.6,,8.1, 11.0, 14.8, 16.0, 15.5, 14.0,,9.8,,7.5
1983,,6.1,,1.5,,6.0,,6.3,,9.7, 13.8, 18.6, 16.9, 13.3, 10.0,,7.1
1984,,3.3,,3.2,,4.3,,7.5,,9.3, 13.9, 16.1, 16.9, 13.2, 10.7,,7.7
1985,,0.5,,2.0,,4.3,,8.0, 10.4, 12.2, 15.7, 14.3, 14.1, 10.7,,3.7,
1986,,3.1, -1.3,,4.6,,5.4, 10.7, 14.1, 15.5, 13.3, 11.0, 10.5,,7.4,,5.5
1987,,0.5,,3.3,,3.8,,9.6,,9.6, 12.4, 15.5, 15.3, 13.4,,9.4,
1988,,4.9,,4.4,,5.9,,7.7, 11.3, 13.9, 14.4, 15.0, 12.9, 10.3,,5.1,
1989,,5.8,,5.5,,7.1,,6.1, 12.6, 14.0, 17.6, 16.2, 14.3, 11.4,,6.2,
1990,,6.2,,7.0,,8.0,,7.7, 12.1, 13.2, 16.3, 17.7, 12.8, 11.6,,6.5,
1991,,3.0,,1.4,,7.5,,7.5, 10.4, 11.8, 16.8, 16.7, 14.3,,9.8,,6.2
1992,,3.4,,5.1,,6.9,,8.3, 12.9, 15.2, 16.0, 15.2, 13.0,,7.4,,7.0
1993,,5.5,,4.5,,6.1,,9.0, 11.0, 14.4, 14.9, 14.2, 12.0,,8.1,,4.4
1994,,4.8,,2.9,,7.2,,7.7, 10.2, 14.0, 17.5, 15.6, 12.4,,9.8,,9.5
1995,,4.2,,6.1,,5.1,,8.5, 11.2, 13.6, 18.0, 18.4, 13.3, 12.6,,7.4,
1996,,4.0,,2.3,,4.0,,8.0,,8.7, 13.8, 16.0, 16.1, 13.2, 11.1,,5.4
1997,,2.0,,6.2,,7.9,,8.5, 11.1, 13.7, 16.2, 18.4, 13.8,,9.9,,8.2
1998,,4.8,,6.9,,7.5,,7.5, 12.6, 13.9, 15.2, 15.6, 14.4, 10.1,,5.6,
1999,,5.3,,4.8,,7.0,,9.1, 12.6, 13.4, 17.2, 15.9, 15.3, 10.4,,7.4,
2000,,4.6,,5.8,,7.1,,7.6, 11.7, 14.5, 14.9, 16.3, 14.5, 10.0,,6.6,
2001,,3.1,,4.2,,4.9,,7.4, 12.0, 13.7, 16.7, 16.5, 13.1, 13.1,,7.1,
2002,,5.3,,6.6,,7.2,,8.9, 11.5, 14.0, 15.6, 16.7, 14.0,,9.7,,8.2
2003,,4.2,,3.7,,7.2,,9.3, 11.7, 15.6, 17.1, 17.8, 14.1,,8.9,,7.9
2004,,4.9,,5.1,,6.2,,9.2, 11.8, 15.1, 15.5, 17.2, 14.5, 10.4,,7.5,
2005,,5.7,,4.0,,6.8,,8.6, 11.0, 15.1, 16.4, 15.9, 14.9, 12.8,,6.0,
2006,,4.0,,3.6,,4.6,,8.3, 11.8, 15.5, 19.3, 16.0, 16.5, 12.7,,7.9,
2007,,6.6,,5.8,,6.9, 11.0, 11.7, 14.8, 15.2, 15.4, 13.7, 10.7,,7.1,,4.8
2008,,6.3,,5.2,,5.9,,7.7, 12.9, 14.0, 16.1, 16.1, 13.3,,9.5,,6.8
2009,,2.9,,4.0,,6.7,,9.6, 11.8, 14.5, 16.0, 16.5, 14.1, 11.2,,8.3,
2010,,1.2,,2.6,,5.9,,8.7, 10.5, 15.0, 17.1, 15.3, 13.7, 10.2,,5.1, -0.5
2011,,3.6,,6.1,,6.5, 11.5, 12.0, 13.9, 15.1, 15.3, 15.0, 12.3,,9.3,,5.6
2012,,5.3,,3.9,,8.0,,7.1, 11.5, 13.4, 15.2, 16.4, 12.9,,9.3,,6.4
2013,,3.4,,2.9,,2.6,,7.2, 10.2, 13.6, 18.0, 16.8, 13.6, 12.2,,6.1,
2014,,5.4,,6.0,,7.4,,9.9, 12.1, 15.0, 17.5, 15.0, 14.8, 12.2,,8.3,
2015,,4.3,,3.9,,6.2,,8.9, 10.7, 13.9, 15.8, 15.9, 12.5, 10.7,,9.2,
2016,,5.2,,4.7,,5.6,,7.3, 12.1, 14.8, 16.6, 16.8, 15.8, 10.6,,5.6,
2017,,3.7,,5.9,,8.4,,8.8, 12.9, 15.9, 16.5, 15.6, 13.4, 12.1,,6.6,
2018,,5.1,,2.6,,4.6,,9.5, 12.9, 15.8, 18.8, 16.7, 13.6, 10.5,,7.9,
2019,,3.8,,6.5,,7.7,,8.8, 11.0, 14.2, 17.5, 17.0, 14.1, 10.0,,6.1,
2020,,6.2,,6.2,,6.4, 10.2, 12.4, 15.0, 15.7, 17.4, 13.9, 10.3,,8.4,,4.8
2021,,2.9,,4.8,,7.0,,6.2,,9.9, 15.3, 17.5, 15.8, 15.8, 11.8,,7.3
